2024,Adalto Santos,9,FES-PE,3647,EKJX,EKJX,EMENDA,INVESTIMENTOS,"91 - APLICAÇÃO DIRETA DECORRENTE DE OUTROS ÓRGÃOS, FUNDOS E ENTIDADES",RECIFE,"Investimento para compra de ambulância e equipamentos para realização de procedimentos de média e alta complexidade pelo FUNDAÇÃO DE HEMATOLOGIA E HEMOTERAPIA DE PERNAMBUCO - HEMOPE, CNPJ: 10.564.953/0001-36",SAÚDE,AQUISIÇÃO DE EQUIPAMENTOS - SAÚDE,-,-,-,-,-,"350.000,00","291.663,93",-,-,-,-,-,-,,2611606,22
2024,Adalto Santos,10,FES-PE,3126,EKJY,EKJY,EMENDA,CUSTEIO,50 - TRANSF. A INSTITUIÇÕES PRIVADAS SEM FINS LUCRATIVOS,RECIFE,"A presente emenda tem como finalidade aquisição de material de uso único (insumos gerais, insumos hospitalares e medicamentos) para apoiar e garantir os trabalhos sociais e assistenciais desenvolvidos pela entidade HOSPITAL DE CANCER DE PERNAMBUCO, inscrita no CNPJ: 10.894.988/0001-33",SAÚDE,AQUISIÇÃO DE INSUMOS/MEDICAMENTOS,-,-,-,-,-,"1.000.000,00","1.000.000,00",-,-,-,-,-,"1.000.000,00",,2611606,22
2024,Abimael Santos,16,FES-PE,3648,EKK4,EKK4,EMENDA,INVESTIMENTOS,"91 - APLICAÇÃO DIRETA DECORRENTE DE OUTROS ÓRGÃOS, FUNDOS E ENTIDADES",RECIFE,"A presente Emenda no valor de R$ 120.000,00 (cento e vinte mil reais), para ser aplicada no Pronto Socorro Cardiológico Universitário de Pernambuco Professor Luiz Tavares - PROCAPE, com CNPJ sob nº 11.022.597/0001-91, destinada a continuidade da construção do prédio anexo do PROCAPE/CH/UPE, esclarecendo que a construção já esta bastante adiantada e que a continuidade da mesma é de extrema importância, uma vez que irá possibilitar a construção de mais 03 pavimentos que contará comn 226 leitos, sendo 50 leitos de UTIs e 176 leitos de Enfermaria, gerando um incremento de 91% (noventa e um por cento) do número de leitos existentes hoja, totalizando 473 leitos.",SAÚDE,APOIO UNID.DE SAÚDE - CUSTEIO/REFORMA,-,-,-,-,-,"120.000,00","119.996,63",-,-,-,-,-,-,,2611606,38
2024,Abimael Santos,18,FES-PE,3126,EKK6,EKK6,EMENDA,CUSTEIO,50 - TRANSF. A INSTITUIÇÕES PRIVADAS SEM FINS LUCRATIVOS,RECIFE,"A presente Emenda no valor de R$ 60.000,00 (sessenta mil reais) para ser aplicada pelo Instituto do Fígado e Transplante de Pernambuco - IFP, inscrito no CNPJ sob nº 07.421.280/0001-50, na aquisição na aquisição de material de uso único (insumos gerais, insumos hospitalares e medicamentos), garantindo a oferta de procedimento de média e alta complexidade ambulatorial e hospitalar aos usuários do SUS - Sistema Único de Saúde.",SAÚDE,AQUISIÇÃO DE INSUMOS/MEDICAMENTOS,-,-,-,-,-,"60.000,00","60.000,00",-,-,-,-,-,"60.000,00",,2611606,38
2024,Abimael Santos,21,MP,1132,EKK9,EKK9,EMENDA,INVESTIMENTOS,90 - APLICAÇÕES DIRETAS,RECIFE,"A presente Emenda no valor R$ 100.000,00 (cem mil reais), destina-se ao Ministério Público de Pernambuco, para ser utilizado na implantação do complexo da nova Sede Única do MPPE, em virtude das crescentes demandas sociais, vem atuando no sentido de melhor planejar sua infraestrutura física e operacional, considerando as necessidades impostas por sua abrangência de atuação. A situação da Capital se destaca: atualmente são 12 espaços onde a Instituição desenvolve sues trabalhos na cidade do Recife, descentralização que representa alto custo financeiro, dificulta a integração entre os setores do órgão e gera transtornos para a população, que muitas vezes tem dificuldade em identificar os locais de atendimento do MPPE na capital. A implantação de uma Sede Única vem em resposta a estes elementos.",DIREITOS DA CIDADANIA,OBRAS OUTROS PODERES,-,-,-,-,-,"100.000,00",-,-,"100.000,00",-,-,-,-,,2611606,38
2024,Abimael Santos,22,SEDUH,4340,EKKA,EKKA,EMENDA,INVESTIMENTOS,40 - TRANSF. A MUNICÍPIOS,SANTA CRUZ DO CAPIBARIBE,"A presente Emenda no valor R$ 100.000,00 (cem mil reais), para ser aplicado pela Prefeitura Municipal de Santa Cruz do Capibaribe, CNPJ 10.091.569/0001-63, destina-se especificamente para construção de 01 (uma) Praça Pública no município, que deverá trazer inúmeros benefícios a comunidade, beneficiando as crianças, jovens , adultos e idosos, na sua qualidade de vida, onde terão um lugar para suas horas de descontração e lazer, como também um espaço para o bem estar físico e mental.",URBANISMO,APOIO À INFRATESTRUTURA MUNICIPAL,-,-,-,-,-,"100.000,00",-,-,-,-,-,-,-,,2612505,38
2024,Abimael Santos,23,FES-PE,3126,EKKB,EKKB,EMENDA,CUSTEIO,50 - TRANSF. A INSTITUIÇÕES PRIVADAS SEM FINS LUCRATIVOS,RECIFE,"A presente Emenda no valor de R$ 100.000,00 (cem mil reais), para ser aplicada pelo Hospital de Câncer de Pernambuco, com CNPJ sob nº 10.894.988/0001-33, na aquisição de material de uso único (insumos gerais, insumos hospitalares e medicamentos), garantindo a oferta de procedimentos de média e alta complexidade ambulatorial e hospitalar, referencial de maior cobertura aos usuários do Sistema Único de Saúde - SUS.",SAÚDE,AQUISIÇÃO DE INSUMOS/MEDICAMENTOS,-,-,-,-,-,"100.000,00","100.000,00",-,-,-,-,-,"100.000,00",,2611606,38
2024,Abimael Santos,25,FES-PE,4611,EKKD,EKKD,EMENDA,CUSTEIO,50 - TRANSF. A INSTITUIÇÕES PRIVADAS SEM FINS LUCRATIVOS,RECIFE,"A presente Emenda no valor de R$ 200.000,00 (duzentos mil reais), ´para ser aplicada na FAV - Fundação Altino Ventura, com CNPJ sob nº 10.667.814-0001-38, desatinado a aquisição de materiais para custeio de suas atividades, garantindo a oferta de procedimentos oftalmológicos de média e alta complexidade ambulatorial e hospitalar, com ampliação de oferta no atendimento médico/hospitalar, referencial de de maior cobertura aos usuários do SUS - Sistema Único de Saúde.",SAÚDE,AQUISIÇÃO DE INSUMOS/MEDICAMENTOS,-,-,-,-,-,"200.000,00","200.000,00",-,-,-,-,-,"200.000,00",,2611606,38
2024,Adalto Santos,54,FES-PE,4553,EKKG,EKKG,EMENDA,INVESTIMENTOS,50 - TRANSF. A INSTITUIÇÕES PRIVADAS SEM FINS LUCRATIVOS,RECIFE,"A presente emenda encaminha recursos ao Fundo Estadual de Saúde - FES para que seja destinado ao INSTITUTO DE MEDICINA INTEGRAL PROFESSOR FERNANDES FIGUEIRA - IMIP, CNPJ: 10.988.301/0001-29, a fim de apoiar a compra de um MICROSCÓPIO CIRÚRGICO para cirurgias neurológicas de coluna vertebral, otorrinolaringológicas e reconstrutivas.",SAÚDE,AQUISIÇÃO DE EQUIPAMENTOS - SAÚDE,-,-,-,-,-,"400.000,00","400.000,00",-,-,-,-,-,"400.000,00",,2611606,22
2024,Abimael Santos,55,FES-PE,3126,EKKH,EKKH,EMENDA,CUSTEIO,50 - TRANSF. A INSTITUIÇÕES PRIVADAS SEM FINS LUCRATIVOS,OLINDA,"A presente Emenda no valor de R$ 200.000,00 (duzentos mil reais), para ser aplicada pelo Hospital do Tricentenário, com CNPJ sob nº 10.583.920/0001-33, na aquisição de material de uso único (insumos gerais, insumos hospitalares e medicamentos), garantindo a oferta de procedimentos de média e alta complexidade ambulatorial e hospitalar, referencial de maior cobertura aos usuários do Sistema Único de Saúde - SUS.",SAÚDE,AQUISIÇÃO DE INSUMOS/MEDICAMENTOS,-,-,-,-,-,"200.000,00","200.000,00",-,-,-,-,-,"200.000,00",,2609600,38
2024,Abimael Santos,60,SCJ,4541,EKKM,EKKM,EMENDA,CUSTEIO,50 - TRANSF. A INSTITUIÇÕES PRIVADAS SEM FINS LUCRATIVOS,TORITAMA,"A presente Emenda no valor de R$ 100.000,00 (cem mil reais), para ser aplicada na Federação Pernambucana de Muay Thai, CNPJ 09.664.460.0001-99, destinada no evento denominado Festival da Juventude de Toritama - Circuito Pernambucano de Lutas, lutando contras as drogas, com o objetivo de democratizar e interiorizar a prática de esportes como meio de inclusão social. Bem como, prevenir, reduzir a violência e a criminalidade nas áreas mais carentes do município de Toritama, tirando o foco dos jovens para uma possível vulnerabilidade social , contribuindo com a Campanha de Combate às Drogas.",ASSISTÊNCIA SOCIAL,APOIO AO ESPORTE E LAZER,-,-,-,-,-,"100.000,00",-,-,-,-,-,-,-,,2615409,38
2024,Abimael Santos,64,SDAAPP,4145,EKKQ,EKKQ,EMENDA,INVESTIMENTOS,50 - TRANSF. A INSTITUIÇÕES PRIVADAS SEM FINS LUCRATIVOS,TAQUARITINGA DO NORTE,"A presente Emenda no valor de R$ 120.000,00 (cento e vinte mil reais), destina-se a Associação dos Agricultores de Serra do Bois, no município de Taquaritinga do Norte, CNPJ sob nº 11.886.142/0001-14, na criação de tilapia, uma atividade que gera número significativo de empregos e é responsável por um produto de excelente valor nutritivo para a saúde humana. Os peixes são considerados indispensáveis para uma boa saúde, pois se constituem em excelente fonte proteica, além de serem ricos em vitaminas, principalmente A, B1, B2, B6, C, D e E.",AGRICULTURA,APOIO AO PEQUENO PRODUTOR,-,-,-,-,-,"120.000,00",-,-,-,-,-,-,-,,2615003,38
2024,Abimael Santos,68,FES-PE,3126,EKKU,EKKU,EMENDA,CUSTEIO,50 - TRANSF. A INSTITUIÇÕES PRIVADAS SEM FINS LUCRATIVOS,CARUARU,"A presente Emenda no valor de R$ 30.000,00 (trinta mil reais), para ser aplicada pelo Instituto do Câncer Infantil do Agreste - ICIA, município de Caruaru, CNPJ sob nº 06.061.422/0001-53, na aquisição de material de uso único (insumos gerais, insumos hospitalares e medicamentos), garantindo aos serviços da assistência prestada aos pacientes.",SAÚDE,AQUISIÇÃO DE INSUMOS/MEDICAMENTOS,-,-,-,-,-,"30.000,00","30.000,00",-,-,-,-,-,"30.000,00",,2604106,38
2024,Simone Santana,72,FES-PE,4553,EKKX,EKKX,EMENDA,INVESTIMENTOS,41 - TRANSF. A MUNICÍPIOS FUNDO A FUNDO,BEZERROS,Aquisição de ambulância.,SAÚDE,AQUISIÇÃO VEÍCULOS - SAÚDE,-,-,-,-,-,"100.000,00","100.000,00",-,-,-,-,-,"100.000,00",,2601904,20
2024,Simone Santana,74,FES-PE,3126,EKKZ,EKKZ,EMENDA,CUSTEIO,41 - TRANSF. A MUNICÍPIOS FUNDO A FUNDO,FERREIROS,Aquisição de medicamentos e insumos farmacêuticos.,SAÚDE,AQUISIÇÃO DE INSUMOS/MEDICAMENTOS,-,-,-,-,-,"100.000,00","100.000,00",-,-,-,-,-,"100.000,00",,2605509,20
2024,Simone Santana,76,FES-PE,4553,EKL1,EKL1,EMENDA,INVESTIMENTOS,90 - APLICAÇÕES DIRETAS,RECIFE,A emenda destina-se ao Hospital Getúlio Vargas para a aquisição de equipamentos para oferta de melhoria no atendimento à população.,SAÚDE,AQUISIÇÃO DE EQUIPAMENTOS - SAÚDE,-,-,-,-,-,"80.000,00","43.100,00",-,-,-,-,-,-,,2611606,20
2024,Simone Santana,77,FES-PE,4553,EKL2,EKL2,EMENDA,INVESTIMENTOS,41 - TRANSF. A MUNICÍPIOS FUNDO A FUNDO,NAZARE DA MATA,A emenda destina-se ao município de Nazaré da Mata para a compra de equipamentos para o laboratório de analises clinicas.,SAÚDE,AQUISIÇÃO DE EQUIPAMENTOS - SAÚDE,-,-,-,-,-,"100.000,00","87.823,70",-,-,-,-,-,"87.823,70",,2609501,20
2024,Simone Santana,78,FES-PE,4553,EKL3,EKL3,EMENDA,INVESTIMENTOS,90 - APLICAÇÕES DIRETAS,RECIFE,Investimentos ao Hospital Agamenon Magalhães.,SAÚDE,APOIO UNID.DE SAÚDE - CUSTEIO/REFORMA,-,-,-,-,-,"60.000,00",-,-,-,-,-,-,-,,2611606,20
2024,Simone Santana,79,FES-PE,4553,EKL4,EKL4,EMENDA,INVESTIMENTOS,50 - TRANSF. A INSTITUIÇÕES PRIVADAS SEM FINS LUCRATIVOS,RECIFE,A emenda destina-se a Fundação Altino Ventura (CNPJ: 10.667.814/0001-38).,SAÚDE,APOIO UNID.DE SAÚDE - CUSTEIO/REFORMA,-,-,-,-,-,"80.000,00",-,-,-,-,-,-,-,,2611606,20
2024,Simone Santana,80,FES-PE,3648,EKL5,EKL5,EMENDA,CUSTEIO,"91 - APLICAÇÃO DIRETA DECORRENTE DE OUTROS ÓRGÃOS, FUNDOS E ENTIDADES",RECIFE,A emenda destina-se CISAM - Centro Universitário Integrado de Saúde Amaury de Medeiros/UPE.,SAÚDE,APOIO UNID.DE SAÚDE - CUSTEIO/REFORMA,-,-,-,-,-,"80.000,00","79.982,00",-,-,-,-,-,-,,2611606,20
2024,Simone Santana,81,FES-PE,4553,EKL6,EKL6,EMENDA,INVESTIMENTOS,50 - TRANSF. A INSTITUIÇÕES PRIVADAS SEM FINS LUCRATIVOS,RECIFE,A emenda destina-se ao Hospital de Câncer de Pernambuco (CNPJ: 10.894.988/0001-33).,SAÚDE,APOIO UNID.DE SAÚDE - CUSTEIO/REFORMA,-,-,-,-,-,"80.000,00","80.000,00",-,-,-,-,-,"80.000,00",,2611606,20
2024,Simone Santana,82,SEPLAG,4424,EKL7,EKL7,TRANSF. ESPECIAIS,INVESTIMENTOS,40 - TRANSF. A MUNICÍPIOS,BARRA DE GUABIRABA,Transferência Especial.,ENCARGOS ESPECIAIS,TRANSFERÊNCIAS ESPECIAIS,-,-,-,-,-,"500.000,00","500.000,00",-,-,-,-,-,-,,2601300,20
2024,Simone Santana,83,SEPLAG,4424,EKL8,EKL8,TRANSF. ESPECIAIS,INVESTIMENTOS,40 - TRANSF. A MUNICÍPIOS,ALAGOINHA,Transferência Especial.,ENCARGOS ESPECIAIS,TRANSFERÊNCIAS ESPECIAIS,-,-,-,-,-,"500.000,00","500.000,00",-,-,-,-,-,-,,2600609,20
2024,Simone Santana,84,SEPLAG,4424,EKL9,EKL9,TRANSF. ESPECIAIS,INVESTIMENTOS,40 - TRANSF. A MUNICÍPIOS,JAQUEIRA,Transferência Especial.,ENCARGOS ESPECIAIS,TRANSFERÊNCIAS ESPECIAIS,-,-,-,-,-,"500.000,00","500.000,00",-,-,-,-,-,-,,2607950,20
2024,Simone Santana,85,SEPLAG,4424,EKLA,EKLA,TRANSF. ESPECIAIS,INVESTIMENTOS,40 - TRANSF. A MUNICÍPIOS,MARAIAL,Transferência Especial.,ENCARGOS ESPECIAIS,TRANSFERÊNCIAS ESPECIAIS,-,-,-,-,-,"400.000,00","400.000,00",-,-,-,-,-,-,,2609204,20
2024,Simone Santana,86,SEPLAG,4424,EKLB,EKLB,TRANSF. ESPECIAIS,INVESTIMENTOS,40 - TRANSF. A MUNICÍPIOS,LAGOA DO CARRO,Transferência Especial.,ENCARGOS ESPECIAIS,TRANSFERÊNCIAS ESPECIAIS,-,-,-,-,-,"370.000,00","370.000,00",-,-,-,-,-,-,,2608453,20
2024,Simone Santana,88,FES-PE,4553,EKLD,EKLD,EMENDA,INVESTIMENTOS,41 - TRANSF. A MUNICÍPIOS FUNDO A FUNDO,BARRA DE GUABIRABA,Aquisição de ambulância,SAÚDE,AQUISIÇÃO VEÍCULOS - SAÚDE,-,-,-,-,-,"200.000,00","200.000,00",-,-,-,-,-,"200.000,00",,2601300,20
2024,Simone Santana,89,FES-PE,3126,EKLE,EKLE,EMENDA,CUSTEIO,41 - TRANSF. A MUNICÍPIOS FUNDO A FUNDO,ALAGOINHA,Aquisição de medicamentos e insumos farmacêuticos.,SAÚDE,AQUISIÇÃO DE INSUMOS/MEDICAMENTOS,-,-,-,-,-,"250.000,00","250.000,00",-,-,-,-,-,"250.000,00",,2600609,20
2024,Simone Santana,90,FES-PE,4553,EKLF,EKLF,EMENDA,INVESTIMENTOS,41 - TRANSF. A MUNICÍPIOS FUNDO A FUNDO,LAGOA DO CARRO,Aquisição de ambulância,SAÚDE,AQUISIÇÃO VEÍCULOS - SAÚDE,-,-,-,-,-,"130.000,00","128.847,50",-,-,-,-,-,"128.847,50",,2608453,20
2024,Simone Santana,92,FES-PE,4611,EKLH,EKLH,EMENDA,CUSTEIO,50 - TRANSF. A INSTITUIÇÕES PRIVADAS SEM FINS LUCRATIVOS,MORENO,Destinada ao Hospital Armindo Moura - União Beneficente dos Trabalhadores do Moreno - CNPJ nº 11.683.042/000190,SAÚDE,APOIO UNID.DE SAÚDE - CUSTEIO/REFORMA,-,-,-,-,-,"100.000,00","100.000,00",-,-,-,-,-,-,,2609402,20
2024,Simone Santana,94,FES-PE,4611,EKLJ,EKLJ,EMENDA,CUSTEIO,50 - TRANSF. A INSTITUIÇÕES PRIVADAS SEM FINS LUCRATIVOS,PALMARES,"A emenda destina-se ao Instituto de Assistência Vale do Una, CNPJ nº 13.296.018/0001-24 no município de Palmares.",SAÚDE,APOIO UNID.DE SAÚDE - CUSTEIO/REFORMA,-,-,-,-,-,"100.000,00",-,-,-,-,-,-,-,,2610004,20
2024,Débora Almeida,97,ADAGRO,5709,EKLL,EKLL,EMENDA,INVESTIMENTOS,90 - APLICAÇÕES DIRETAS,SAO BENTO DO UNA,"A presente Emenda, no valor de R$ 300.000,00, destina-se a reforma da ADAGRO, na Cidade de São Bento do Una.",AGRICULTURA,APOIO À INFRATESTRUTURA MUNICIPAL,-,-,-,-,-,"300.000,00",-,-,-,-,-,-,-,,2613008,24
2024,Débora Almeida,98,FES-PE,4553,EKLM,EKLM,EMENDA,INVESTIMENTOS,50 - TRANSF. A INSTITUIÇÕES PRIVADAS SEM FINS LUCRATIVOS,GARANHUNS,"A presente Emenda, no valor de R$ 100.000,00, destina-se ao Hospital Infantil Palmira Sales (CNPJ 10.241.503/0001-02), para ampliação dos equipamentos do Hospital.",SAÚDE,AQUISIÇÃO DE EQUIPAMENTOS - SAÚDE,-,-,-,-,-,"100.000,00","97.555,00",-,-,-,-,-,-,,2606002,24
2024,Débora Almeida,99,FES-PE,4553,EKLN,EKLN,EMENDA,INVESTIMENTOS,50 - TRANSF. A INSTITUIÇÕES PRIVADAS SEM FINS LUCRATIVOS,RECIFE,"A presente Emenda, no valor de R$ 200.000,00, destina-se a Santa Casa de Misericórdia do Recife (CNPJ 10.869.782/0001-53), para aquisição de 03 (três) motores Cirúrgicos para o Hospital Santo Amaro.",SAÚDE,AQUISIÇÃO DE EQUIPAMENTOS - SAÚDE,-,-,-,-,-,"200.000,00","165.579,00",-,-,-,-,-,"165.579,00",,2611606,24
2024,Débora Almeida,100,DPPE,1921,EKLO,EKLO,EMENDA,INVESTIMENTOS,90 - APLICAÇÕES DIRETAS,RECIFE,"A presente Emenda, na valor de R$ 100.000,00, destina-se a Defensoria Pública do Estado, para aparelhamento da Defensoria.",DIREITOS DA CIDADANIA,OBRAS OUTROS PODERES,-,-,-,-,-,"100.000,00","99.520,00",-,-,-,-,-,-,,2611606,24
2024,Débora Almeida,101,MP,1132,EKLP,EKLP,EMENDA,INVESTIMENTOS,90 - APLICAÇÕES DIRETAS,RECIFE,"A presente Emenda, no valor de R$ 100.000,00, destina-se ao Ministério Público de Pernambuco, para ser utilizado na implantação do complexo da nova Sede única do MPPE, em virtude das crescentes demandas sociais enfrentadas pelos órgãos.",DIREITOS DA CIDADANIA,OBRAS OUTROS PODERES,-,-,-,-,-,"100.000,00",-,-,"100.000,00",-,-,-,-,,2611606,24
2024,Débora Almeida,102,SEE,4538,EKLQ,EKLQ,EMENDA,CUSTEIO,50 - TRANSF. A INSTITUIÇÕES PRIVADAS SEM FINS LUCRATIVOS,ARCOVERDE,"A presente Emenda, no valor de R$ 20.000,00, destina-se a Fundação Terra (CNPJ 12.658.530/0001-00), para assegurar a continuidade do fornecimento de alimentação escolar para as crianças mais vulneráveis.",EDUCAÇÃO,APOIO À POLÍTICA DE CRIANÇA/ADOLESCENTE,-,-,-,-,-,"20.000,00",-,-,-,-,-,-,-,,2601201,24
2024,Débora Almeida,103,FES-PE,4553,EKLR,EKLR,EMENDA,INVESTIMENTOS,50 - TRANSF. A INSTITUIÇÕES PRIVADAS SEM FINS LUCRATIVOS,RECIFE,"A presente Emenda, no valor de R$ 23.050,00, destina-se ao Instituto SOS Mão Criança (CNPJ 08.187.800/0001-75), para atendimento ambulatorial e cirúrgico para crianças portadoras de malformação congênita e sequelas de acidentes.",SAÚDE,APOIO UNID.DE SAÚDE - CUSTEIO/REFORMA,-,-,-,-,-,"23.050,00","23.050,00",-,-,-,-,-,"23.050,00",,2611606,24
2024,Débora Almeida,104,FES-PE,3126,EKLS,EKLS,EMENDA,CUSTEIO,50 - TRANSF. A INSTITUIÇÕES PRIVADAS SEM FINS LUCRATIVOS,RECIFE,"A presente Emenda, no valor de R$ 100.000,00 destina-se ao Hospital do Câncer de Pernambuco (CNPJ 10.894.988/0001-33), para aquisição de materiais de uso único (Insumos gerais, hospitalares e medicamentos).",SAÚDE,AQUISIÇÃO DE INSUMOS/MEDICAMENTOS,-,-,-,-,-,"100.000,00","100.000,00",-,-,-,-,-,"100.000,00",,2611606,24
2024,Débora Almeida,105,FES-PE,4553,EKLT,EKLT,EMENDA,INVESTIMENTOS,90 - APLICAÇÕES DIRETAS,GARANHUNS,"A presente Emenda, no valor de R$ 200.000,00, destina-se ao Hospital Regional Dom Moura, para ampliação dos equipamentos da unidade.",SAÚDE,AQUISIÇÃO DE EQUIPAMENTOS - SAÚDE,-,-,-,-,-,"200.000,00","199.989,95",-,-,-,-,-,-,,2606002,24
2024,Débora Almeida,106,FES-PE,4611,EKLU,EKLU,EMENDA,CUSTEIO,50 - TRANSF. A INSTITUIÇÕES PRIVADAS SEM FINS LUCRATIVOS,MORENO,"A presente Emenda, no valor de R$ 100.000,00 destina-se a União Beneficente dos Trabalhadores do Moreno - UBTM (CNPJ 11.683.042/0001-90), mantenedora do Hospital Armindo Moura, para custeio de procedimento de média e alta complexidade.",SAÚDE,APOIO UNID.DE SAÚDE - CUSTEIO/REFORMA,-,-,-,-,-,"100.000,00","100.000,00",-,-,-,-,-,-,,2609402,24
2024,Débora Almeida,107,FES-PE,3648,EKLV,EKLV,EMENDA,INVESTIMENTOS,"91 - APLICAÇÃO DIRETA DECORRENTE DE OUTROS ÓRGÃOS, FUNDOS E ENTIDADES",RECIFE,"A presente Emenda, no valor de R$ 100.000,00 destina-se a Universidade de Pernambuco - UPE, para possibilitar a continuidade da construção do prédio anexo do PROCAPE.",SAÚDE,APOIO UNID.DE SAÚDE - CUSTEIO/REFORMA,-,-,-,-,-,"100.000,00","99.995,45",-,-,-,-,-,-,,2611606,24
